,Peak_Def,Peak_Def,Peak_Shear,Peak_Shear,Def_Mean,Def_Mean,Shear_Mean,Shear_Mean,Def_Std,Def_Std,Ratio_Peak,Ratio_Peak
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Material,,,,,,,,,,,,
carton_box,0.551,0.078,0.347,0.086,0.5,0.068,0.3,0.077,0.052,0.019,1.637,0.297
ceramic_cup,0.707,0.069,0.306,0.107,0.646,0.056,0.235,0.086,0.086,0.02,2.506,0.633
hardwood,0.634,0.113,0.328,0.097,0.577,0.093,0.244,0.087,0.067,0.026,2.009,0.307
pla_hard,0.467,0.046,0.19,0.05,0.433,0.041,0.136,0.039,0.031,0.011,2.602,0.641
pla_soft,0.388,0.06,0.183,0.072,0.363,0.055,0.154,0.06,0.019,0.009,2.318,0.604
plastic_orange,0.735,0.056,0.331,0.056,0.67,0.055,0.277,0.052,0.091,0.015,2.264,0.281
plastic_strawberry,0.747,0.127,0.445,0.106,0.666,0.122,0.369,0.091,0.097,0.031,1.716,0.278
rubber,0.504,0.141,0.313,0.079,0.457,0.119,0.249,0.066,0.046,0.032,1.654,0.413
soft_bottle,0.927,0.203,0.593,0.185,0.816,0.164,0.485,0.147,0.133,0.05,1.622,0.237
steel_cup,0.717,0.076,0.366,0.093,0.64,0.067,0.3,0.083,0.096,0.02,2.046,0.374
wallet,0.466,0.105,0.274,0.141,0.417,0.074,0.204,0.099,0.039,0.03,1.968,0.676
