,Peak_Def,Peak_Def,Peak_Shear,Peak_Shear,Def_Mean,Def_Mean,Shear_Mean,Shear_Mean,Def_Std,Def_Std,Ratio_Peak,Ratio_Peak
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Material,,,,,,,,,,,,
carton_box,0.68,0.103,0.352,0.099,0.592,0.076,0.249,0.081,0.074,0.031,2.003,0.318
ceramic_cup,0.812,0.164,0.43,0.151,0.71,0.125,0.345,0.129,0.106,0.048,2.005,0.412
hardwood,0.583,0.069,0.268,0.061,0.527,0.063,0.214,0.048,0.055,0.012,2.243,0.412
pla_hard,0.571,0.066,0.246,0.061,0.52,0.056,0.193,0.052,0.049,0.014,2.41,0.38
pla_soft,0.561,0.122,0.273,0.094,0.505,0.1,0.227,0.08,0.057,0.026,2.152,0.386
plastic_orange,0.567,0.082,0.193,0.058,0.51,0.073,0.151,0.049,0.061,0.025,3.256,1.23
plastic_strawberry,1.061,0.202,0.55,0.196,0.927,0.169,0.453,0.175,0.179,0.058,2.116,0.672
rubber,1.043,0.206,0.755,0.166,0.896,0.163,0.616,0.134,0.158,0.057,1.402,0.223
soft_bottle,0.852,0.174,0.438,0.119,0.726,0.131,0.343,0.084,0.125,0.045,1.978,0.175
steel_cup,0.811,0.142,0.477,0.092,0.731,0.12,0.428,0.083,0.107,0.04,1.705,0.111
wallet,0.56,0.169,0.309,0.123,0.5,0.144,0.249,0.109,0.052,0.037,1.865,0.283
